Rank,Country,Level_of_development,EU_Membership,Currency,Women_Entrepreneurship_Index,Entrepreneurship_Index,Inflation_rate,Female_Labor_Force_Participation_Rate
1,Algeria,Developing,Not Member,National Currency,27.40,30.20,4.80,18.00
2,Argentina,Developing,Not Member,National Currency,35.70,37.20,26.50,47.30
3,Australia,Developed,Not Member,National Currency,74.80,77.60,1.50,66.80
4,Austria,Developed,Member,Euro,54.90,64.90,0.90,67.10
6,Belgium,Developed,Member,Euro,63.60,65.50,0.60,58.00
7,Bolivia,Developing,Not Member,National Currency,29.70,28.00,4.10,69.40
8,Bosnia and Herzegovina,Developing,Not Member,National Currency,31.60,28.90,-1.00,51.90
9,Brazil,Developing,Not Member,National Currency,31.10,25.80,10.67,55.90
10,China,Developing,Not Member,National Currency,38.30,36.40,1.40,62.40
11,Costa Rica,Developing,Not Member,National Currency,36.10,37.70,0.80,59.40
12,Croatia,Developed,Member,National Currency,49.90,40.60,-0.50,60.40
13,Denmark,Developed,Member,National Currency,69.70,71.40,0.50,70.30
14,Ecuador,Developing,Not Member,National Currency,32.30,28.20,-0.50,63.50
15,Egypt,Developing,Not Member,National Currency,27.70,28.10,11.00,64.60
16,El Salvador,Developing,Not Member,National Currency,29.90,29.60,-2.25,55.70
17,Estonia,Developed,Member,Euro,55.40,60.20,-0.88,68.50
18,Finland,Developed,Member,Euro,66.40,65.70,-0.20,67.70
19,France,Developed,Member,Euro,68.80,67.30,0.00,60.60
20,Germany,Developed,Member,Euro,63.60,67.40,0.50,69.90
21,Ghana,Developing,Not Member,National Currency,25.80,24.80,17.20,60.80
22,Greece,Developed,Member,Euro,43.00,42.00,-1.70,42.50
24,Hungary,Developed,Member,National Currency,53.70,42.70,-0.10,57.80
25,Iceland,Developed,Not Member,National Currency,68.00,70.40,1.60,82.30
26,India,Developing,Not Member,National Currency,25.30,25.30,5.90,61.10
28,Ireland,Developed,Member,Euro,64.30,65.30,-0.30,59.40
30,Italy,Developed,Member,Euro,51.40,41.30,0.00,47.20
31,Jamaica,Developing,Not Member,National Currency,38.60,27.20,3.70,37.70
32,Japan,Developed,Not Member,National Currency,40.00,49.50,0.80,64.70
34,Latvia,Developed,Member,Euro,56.60,54.50,0.20,66.40
35,Lithuania,Developed,Member,Euro,58.50,54.60,-0.90,66.50
36,Macedonia,Developing,Not Member,National Currency,41.20,37.10,3.70,73.00
37,Malaysia,Developing,Not Member,National Currency,39.20,40.00,2.30,58.50
38,Mexico,Developing,Not Member,National Currency,42.80,30.70,2.70,44.70
39,Netherlands,Developed,Member,Euro,69.30,66.50,0.60,69.20
40,Norway,Developed,Not Member,National Currency,66.30,65.60,2.17,69.20
42,Panama,Developing,Not Member,National Currency,36.90,32.20,0.10,67.90
43,Peru,Developing,Not Member,National Currency,43.60,30.90,3.50,63.40
44,Poland,Developed,Member,National Currency,57.70,47.40,-0.90,56.60
47,Russia,Developing,Not Member,National Currency,35.60,31.70,15.50,65.20
48,Saudi Arabia,Developing,Not Member,National Currency,37.00,49.60,1.20,13.00
49,Singapore,Developed,Not Member,National Currency,59.80,68.10,-0.50,59.18
50,Slovakia,Developed,Member,Euro,54.80,45.40,-0.30,55.90
51,Slovenia,Developed,Member,Euro,55.90,53.10,-0.50,61.00
53,Spain,Developed,Member,Euro,52.50,49.60,-0.50,52.70
54,Sweden,Developed,Member,National Currency,66.70,71.80,0.00,74.00
55,Switzerland,Developed,Not Member,National Currency,63.70,68.60,-1.10,74.70
56,Taiwan,Developed,Not Member,National Currency,53.40,69.10,-0.61,55.00
57,Thailand,Developing,Not Member,National Currency,36.60,32.10,-0.90,62.00
58,Tunisia,Developing,Not Member,National Currency,30.70,35.50,4.80,25.19
59,Turkey,Developing,Not Member,National Currency,39.30,54.60,7.70,30.40
60,Uruguay,Developing,Not Member,National Currency,44.5,41.4,8.67,68
